zone,country,scfd2_plant,scfd3_plant,match_score,canonical_name,beerometer_plant
AFR,South Africa,Central Office-1BCOSTRAT,,,Central Office-1BCOSTRAT,
AFR,South Africa,Central Office-1BCOTMKT,,,Central Office-1BCOTMKT,
AFR,South Africa,Central Office-1BCOTRIUMP,,,Central Office-1BCOTRIUMP,
AFR,South Africa,Central Office-1TRINITYSA,,,Central Office-1TRINITYSA,
AFR,South Africa,Chamdor Brewery,Chamdor Brewery,1.0,Chamdor Brewery,Chamdor
AFR,South Africa,Chamdor Brewery  VLC,,,Chamdor Brewery  VLC,
AFR,South Africa,Chamdor Depot,,,Chamdor Depot,DC SAB Chamdor Depot
AFR,South Africa,Consolidation Journals Entries,,,Consolidation Journals Entries,
AFR,South Africa,Crown Coleus,,,Crown Coleus,Crown Coleus
AFR,South Africa,Denver Depot,,,Denver Depot,
AFR,South Africa,Divisional Finance,,,Divisional Finance,
AFR,South Africa,Divisional Finance-1DIVFIN,,,Divisional Finance-1DIVFIN,
AFR,South Africa,Dwarsloop Distributor,,,Dwarsloop Distributor,
AFR,South Africa,ECRREGOFF,,,ECRREGOFF,
AFR,South Africa,EGOLREGOFF,,,EGOLREGOFF,
AFR,South Africa,East London Depot,,,East London Depot,
AFR,South Africa,East Regional Office,,,East Regional Office,
AFR,South Africa,Empangeni Depot,,,Empangeni Depot,
AFR,South Africa,Ermelo Distributor,,,Ermelo Distributor,
AFR,South Africa,Estcourt Distributor,,,Estcourt Distributor,
AFR,South Africa,Export from MA,,,Export from MA,
AFR,South Africa,Exports,,,Exports,
AFR,South Africa,Garankuwa Depot,,,Garankuwa Depot,
AFR,South Africa,George Distributor,,,George Distributor,
AFR,South Africa,Greytown Distributor,,,Greytown Distributor,
AFR,South Africa,Groblersdal Depot,,,Groblersdal Depot,
AFR,South Africa,Hartswater Depot,,,Hartswater Depot,
AFR,South Africa,Hop George,,,Hop George,Hop George
AFR,South Africa,Ibhayi Brewery,Ibhayi Brewery,1.0,Ibhayi Brewery,Ibhayi
AFR,South Africa,Ibhayi Brewery  VLC,,,Ibhayi Brewery  VLC,
AFR,South Africa,Inland Regional Office,,,Inland Regional Office,
AFR,South Africa,Isando Depot,,,Isando Depot,
AFR,South Africa,Kimberley Depot,,,Kimberley Depot,
AFR,South Africa,Knysna Depot,,,Knysna Depot,
AFR,South Africa,Kokstad Depot,,,Kokstad Depot,
AFR,South Africa,Kuruman Depot,,,Kuruman Depot,
AFR,South Africa,Ladysmith Depot,,,Ladysmith Depot,
AFR,South Africa,Madadeni Distributor,,,Madadeni Distributor,
AFR,South Africa,Mafikeng Depot,,,Mafikeng Depot,
AFR,South Africa,Makhado Beer Distributor,,,Makhado Beer Distributor,
AFR,South Africa,Malt Alrode,,,Malt Alrode,Malt Alrode
AFR,South Africa,Malt Caledon,,,Malt Caledon,Malt Caledon
AFR,South Africa,Mkuze Distributor,,,Mkuze Distributor,
AFR,South Africa,NTHREGOFF,,,NTHREGOFF,
AFR,South Africa,Nelspruit Depot,,,Nelspruit Depot,
AFR,South Africa,Newlands Brewery,Newlands Brewery,1.0,Newlands Brewery,Newlands
AFR,South Africa,Newlands Brewery  VLC,,,Newlands Brewery  VLC,
AFR,South Africa,Ottery Depot,,,Ottery Depot,
AFR,South Africa,PMburg Depot,,,PMburg Depot,
AFR,South Africa,Perserverance Depot,,,Perserverance Depot,
AFR,South Africa,Phalaborwa Depot,,,Phalaborwa Depot,
AFR,South Africa,Phuthaditjhaba Depot,,,Phuthaditjhaba Depot,
AFR,South Africa,Polokwane Brewery,Polokwane Brewery,1.0,Polokwane Brewery,Polokwane
AFR,South Africa,Polokwane Brewery  VLC,,,Polokwane Brewery  VLC,
AFR,South Africa,Polokwane Depot,,,Polokwane Depot,DC SAB Polokwane Depot
AFR,South Africa,Port Shepstone Depot,,,Port Shepstone Depot,
AFR,South Africa,Potchefstroom Depot,,,Potchefstroom Depot,
AFR,South Africa,Prospecton Brewery,Prospecton Brewery,1.0,Prospecton Brewery,Prospecton
AFR,South Africa,Prospecton Brewery  VLC,,,Prospecton Brewery  VLC,
AFR,South Africa,Prospecton Depot,,,Prospecton Depot,DC SAB Prospecton Depot
AFR,South Africa,Queenstown Depot,,,Queenstown Depot,
AFR,South Africa,Rosslyn Brewery,Rosslyn Brewery,1.0,Rosslyn Brewery,Rosslyn
AFR,South Africa,Rosslyn Brewery  VLC,,,Rosslyn Brewery  VLC,
AFR,South Africa,Rosslyn depot,,,Rosslyn depot,
AFR,South Africa,Rustenburg Depot,,,Rustenburg Depot,
AFR,South Africa,Sales Site,,,Sales Site,
AFR,South Africa,South Africa Central,South Africa Central,1.0,South Africa Central,
AFR,South Africa,Springfield Depot,,,Springfield Depot,
AFR,South Africa,Standerton Depot,,,Standerton Depot,
AFR,South Africa,Thohoyandou Distributor,,,Thohoyandou Distributor,
AFR,South Africa,Tzaneen Depot,,,Tzaneen Depot,
AFR,South Africa,Umtata Depot,,,Umtata Depot,
AFR,South Africa,Upington Depot,,,Upington Depot,
AFR,South Africa,VOPs Summarised Cost,,,VOPs Summarised Cost,
AFR,South Africa,Vereeniging Depot,,,Vereeniging Depot,
AFR,South Africa,Vredendal Distributor,,,Vredendal Distributor,
AFR,South Africa,Vryheid Distributor,,,Vryheid Distributor,
AFR,South Africa,Wadeville Depot,,,Wadeville Depot,
AFR,South Africa,Waltloo Depot,,,Waltloo Depot,
AFR,South Africa,Welkom Depot,,,Welkom Depot,
AFR,South Africa,Westonaria Beer Distributor,,,Westonaria Beer Distributor,
AFR,South Africa,Witbank Depot,,,Witbank Depot,
AFR,South Africa,Worcester Distributor,,,Worcester Distributor,
AFR,South Sudan,Southern Sudan Beverages - Torit Depot,,,Southern Sudan Beverages - Torit Depot,
AFR,South Sudan,Southern Sudan Beverages Ltd - Juba Beer,,,Southern Sudan Beverages Ltd - Juba Beer,
AFR,Swaziland,CCBA Elimination,,,CCBA Elimination,
AFR,Swaziland,Swaziland Beverages - Brewing,,,Swaziland Beverages - Brewing,Eswatini
AFR,Swaziland,Swaziland Beverages - CSD,,,Swaziland Beverages - CSD,
AFR,Swaziland,Swaziland Beverages - Swazi Breweries,Swaziland Beverages - Swazi Breweries,1.0,Swaziland Beverages - Swazi Breweries,
AFR,Swaziland,Swaziland Beverages - Traditional,,,Swaziland Beverages - Traditional,
AFR,Swaziland,Swaziland Beverages - Traditional Beer,,,Swaziland Beverages - Traditional Beer,
AFR,Swaziland,Swaziland Breweries Limited,Swaziland Breweries Limited,1.0,Swaziland Breweries Limited,
AFR,Swaziland,Swaziland Central,Swaziland Central,1.0,Swaziland Central,
AFR,Tanzania,Darbrew - Dar es Salaam Brewery,,,Darbrew - Dar es Salaam Brewery,Dar es Salaam
AFR,Tanzania,Darbrew - Moshi Brewery,,,Darbrew - Moshi Brewery,DC Moshi Depot
AFR,Tanzania,Export from MA~47,,,Export from MA~47,
AFR,Tanzania,Malt Moshi,,,Malt Moshi,
AFR,Tanzania,Tanzania Breweries Ltd - Arusha Brewery,Tanzania Breweries Ltd - Arusha Brewery,1.0,Tanzania Breweries Ltd - Arusha Brewery,Arusha
AFR,Tanzania,Tanzania Breweries Ltd - Bukoba Depot,,,Tanzania Breweries Ltd - Bukoba Depot,
AFR,Tanzania,Tanzania Breweries Ltd - Dar Brewery,Tanzania Breweries Ltd - Dar Brewery,1.0,Tanzania Breweries Ltd - Dar Brewery,
AFR,Tanzania,Tanzania Breweries Ltd - HO,,,Tanzania Breweries Ltd - HO,
AFR,Tanzania,Tanzania Breweries Ltd - Kahama Depot,,,Tanzania Breweries Ltd - Kahama Depot,
AFR,Tanzania,Tanzania Breweries Ltd - Mbeya Brewery,Tanzania Breweries Ltd - Mbeya Brewery,1.0,Tanzania Breweries Ltd - Mbeya Brewery,Mbeya
AFR,Tanzania,Tanzania Breweries Ltd - Mbeya Opaque,,,Tanzania Breweries Ltd - Mbeya Opaque,
AFR,Tanzania,Tanzania Breweries Ltd - Moshi Depot,,,Tanzania Breweries Ltd - Moshi Depot,
AFR,Tanzania,Tanzania Breweries Ltd - Moshi Maltings,Tanzania Breweries Ltd - Moshi Maltings,1.0,Tanzania Breweries Ltd - Moshi Maltings,Malt Moshi
AFR,Tanzania,Tanzania Breweries Ltd - Mwanza Brewery,Tanzania Breweries Ltd - Mwanza Brewery,1.0,Tanzania Breweries Ltd - Mwanza Brewery,Mwanza
AFR,Tanzania,Tanzania Breweries Ltd - Nzagamba,,,Tanzania Breweries Ltd - Nzagamba,
AFR,Tanzania,Tanzania Breweries Ltd - Shinyanga Depot,,,Tanzania Breweries Ltd - Shinyanga Depot,
AFR,Tanzania,Tanzania Breweries Ltd - Tanga Depot,,,Tanzania Breweries Ltd - Tanga Depot,
AFR,Tanzania,Tanzania Breweries Ltd - Ubungo Depot,,,Tanzania Breweries Ltd - Ubungo Depot,DC UbungoDepot
AFR,Tanzania,Tanzania Central,Tanzania Central,1.0,Tanzania Central,
AFR,Tanzania,Tanzania Distilleries Ltd,Tanzania Distilleries Ltd,1.0,Tanzania Distilleries Ltd,
AFR,Tanzania,Tanzania Distilleries Ltd - Arusha Depot,,,Tanzania Distilleries Ltd - Arusha Depot,DC Arusha Depot
AFR,Tanzania,Tanzania Distilleries Ltd - Bukoba Depot,,,Tanzania Distilleries Ltd - Bukoba Depot,
AFR,Tanzania,Tanzania Distilleries Ltd - Mbeya Depot,,,Tanzania Distilleries Ltd - Mbeya Depot,DC Mbeya Depot
AFR,Tanzania,Tanzania Distilleries Ltd - Moshi Depot,,,Tanzania Distilleries Ltd - Moshi Depot,
AFR,Tanzania,Tanzania Distilleries Ltd - Mwanza Depot,,,Tanzania Distilleries Ltd - Mwanza Depot,DC Mwanza Depot
AFR,Tanzania,Tanzania Distilleries Ltd - Shinyanga Depot,,,Tanzania Distilleries Ltd - Shinyanga Depot,
AFR,Uganda,Malt Jinja,,,Malt Jinja,Malt Jinja
AFR,Uganda,NBL - Chibuku,,,NBL - Chibuku,
AFR,Uganda,NBL - HO,NBL - HO,1.0,NBL - HO,
AFR,Uganda,NBL - Jinja,NBL - Jinja,1.0,NBL - Jinja,Jinja Beer
AFR,Uganda,NBL - Kampala,,,NBL - Kampala,
AFR,Uganda,NBL - Maltings and Local Sourcing,NBL - Malt and Local Sourcing,0.935,NBL - Maltings and Local Sourcing,
AFR,Uganda,NBL - Mbale,,,NBL - Mbale,
AFR,Uganda,NBL - Mbarara,NBL - Mbarara,1.0,NBL - Mbarara,Mbarara
AFR,Uganda,Nile Breweries - Chibuku,,,Nile Breweries - Chibuku,
AFR,Uganda,Uganda Central,Uganda Central,1.0,Uganda Central,
AFR,ZHQ Africa,Export from MA,,,Export from MA,
AFR,ZHQ Africa,,Mauritius Central,,Mauritius Central,
AFR,ZHQ Africa,Mubex,,,Mubex,
AFR,ZHQ Africa,ZHQ Africa,,,ZHQ Africa,
AFR,ZHQ Africa,ZHQ Africa (Entity),,,ZHQ Africa (Entity),
AFR,ZHQ Africa,Zone HQ,,,Zone HQ,
AFR,Zambia,CCBA Elimination,,,CCBA Elimination,
AFR,Zambia,Export from MA~51,,,Export from MA~51,
AFR,Zambia,Malt Lusaka,,,Malt Lusaka,Malt Lusaka
AFR,Zambia,Zambia Breweries - CJE,,,Zambia Breweries - CJE,
AFR,Zambia,Zambia Breweries - Chipata,,,Zambia Breweries - Chipata,
AFR,Zambia,Zambia Breweries - Kasama,,,Zambia Breweries - Kasama,
AFR,Zambia,Zambia Breweries - Livingstone,,,Zambia Breweries - Livingstone,
AFR,Zambia,Zambia Breweries - Lusaka Brewery,Zambia Breweries - Lusaka Brewery,1.0,Zambia Breweries - Lusaka Brewery,Lusaka Beer
AFR,Zambia,Zambia Breweries - Lusaka CSD,Zambia Breweries - Lusaka CSD,1.0,Zambia Breweries - Lusaka CSD,DC Lusaka ZB
AFR,Zambia,Zambia Breweries - Maltings,Zambia Breweries - Maltings,1.0,Zambia Breweries - Maltings,
AFR,Zambia,Zambia Breweries - Mansa,,,Zambia Breweries - Mansa,
AFR,Zambia,Zambia Breweries - Mongu,,,Zambia Breweries - Mongu,
AFR,Zambia,Zambia Breweries - Mpika,,,Zambia Breweries - Mpika,
AFR,Zambia,Zambia Breweries - Ndola Brewery,Zambia Breweries - Ndola Brewery,1.0,Zambia Breweries - Ndola Brewery,Ndola Beer
AFR,Zambia,Zambia Breweries - Ndola CSD,,,Zambia Breweries - Ndola CSD,DC Ndola ZB
AFR,Zambia,Zambia Breweries - Solwezi,,,Zambia Breweries - Solwezi,
AFR,Zambia,Zambia Central,Zambia Central,1.0,Zambia Central,
AFR,Zone HQ,Zone HQ,,,Zone HQ,
APAC,Australia,Abbotsford,,,Abbotsford,
APAC,Australia,Australia,,,Australia,
APAC,Australia,Australia HQ,,,Australia HQ,
APAC,Australia,Cascade,,,Cascade,
APAC,Australia,Central,,,Central,
APAC,Australia,Export from MA,,,Export from MA,
APAC,Australia,Harvest,,,Harvest,
APAC,Australia,Intersco,,,Intersco,
APAC,Australia,Nat Man PC,,,Nat Man PC,
APAC,Australia,Yatala,,,Yatala,
APAC,China,BBCo LM,,,BBCo LM,
APAC,China,BGB SHHDC,,,BGB SHHDC,
APAC,China,BSC-DL,,,BSC-DL,
APAC,China,BUC_POC,,,BUC_POC,
APAC,China,BUE_POC,,,BUE_POC,
APAC,China,BUNE_POC,,,BUNE_POC,
APAC,China,BUN_POC,,,BUN_POC,
APAC,China,BUSE_POC,,,BUSE_POC,
APAC,China,BUS_POC,,,BUS_POC,
APAC,China,BUW_POC,,,BUW_POC,
APAC,China,Baoding,Baoding,1.0,Baoding,Baoding
APAC,China,Baoding_PWH,,,Baoding_PWH,
APAC,China,Baoding_TRPT,,,Baoding_TRPT,
APAC,China,Blue Girl,,,Blue Girl,
APAC,China,CHINA_HQ,,,CHINA_HQ,
APAC,China,,CN54,,CN54,
APAC,China,Changsha 2,,,Changsha 2,
APAC,China,Changsha 2_PWH,,,Changsha 2_PWH,
APAC,China,Chengdu DC_Hub,,,Chengdu DC_Hub,
APAC,China,China HQ,,,China HQ,
APAC,China,China HQ Repack,,,China HQ Repack,
APAC,China,China Import beers H,,,China Import beers H,
APAC,China,,China_CN01,,China_CN01,
APAC,China,China_PWH,,,China_PWH,
APAC,China,China_TRPT,,,China_TRPT,
APAC,China,DC BUC HQ,,,DC BUC HQ,
APAC,China,DC BUE_HQ,,,DC BUE_HQ,
APAC,China,DC BUNE_HQ,,,DC BUNE_HQ,
APAC,China,DC BUN_HQ,,,DC BUN_HQ,
APAC,China,DC BUSE-ZJ_HQ,,,DC BUSE-ZJ_HQ,
APAC,China,DC BUSE_HQ,,,DC BUSE_HQ,
APAC,China,DC BUS_HQ,,,DC BUS_HQ,
APAC,China,DC BUW_HQ,,,DC BUW_HQ,
APAC,China,DC Beijing,,,DC Beijing,DC Beijing
APAC,China,DC Changchun,,,DC Changchun,
APAC,China,DC Chengdu,,,DC Chengdu,DC Chengdu
APAC,China,DC Dalian,,,DC Dalian,
APAC,China,DC Foshan,,,DC Foshan,
APAC,China,DC Guangzhou,,,DC Guangzhou,
APAC,China,DC Hangzhou,,,DC Hangzhou,DC Hangzhou
APAC,China,DC Harbin,,,DC Harbin,
APAC,China,DC Jiamusi,,,DC Jiamusi,
APAC,China,DC Jiangyin,,,DC Jiangyin,
APAC,China,DC Jinan,,,DC Jinan,DC Jinan
APAC,China,DC Jinhua,,,DC Jinhua,
APAC,China,DC Jinzhou,,,DC Jinzhou,
APAC,China,DC Juhua,,,DC Juhua,
APAC,China,DC Kunming,,,DC Kunming,
APAC,China,DC Luoyang,,,DC Luoyang,DC Luoyang
APAC,China,DC Mudanjiang,Mudanjiang,0.87,DC Mudanjiang,
APAC,China,DC Nanjing,,,DC Nanjing,
APAC,China,DC Ningbo,,,DC Ningbo,DC Ningbo
APAC,China,DC Putian,,,DC Putian,
APAC,China,DC Putian Craft,,,DC Putian Craft,
APAC,China,DC Quanzhou,,,DC Quanzhou,
APAC,China,DC Shanghai South,,,DC Shanghai South,DC Shanghai South
APAC,China,DC Shenyang,,,DC Shenyang,DC Shenyang
APAC,China,DC Suzhou,,,DC Suzhou,
APAC,China,DC Taiyuan,,,DC Taiyuan,DC Taiyuan
APAC,China,DC Wenzhou,,,DC Wenzhou,
APAC,China,DC Xian,,,DC Xian,DC Xian
APAC,China,DC Yinpu,,,DC Yinpu,
APAC,China,DC Yueqing,,,DC Yueqing,
APAC,China,DC Zhangzhou,,,DC Zhangzhou,
APAC,China,DC Zhoushan,,,DC Zhoushan,DC Zhoushan
APAC,China,DGO Brex,,,DGO Brex,
